id,ip,controller,item,element,label,square,element-type,element-name,parameter,value,event-time,none,situation,count,comment
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,11,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703510925433,undefined,moscow,0,sent_vs;sent_sv
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,12,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703510926062,undefined,tigers,0,sent_vs;sent_sv
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,18,0,experiment,NULL,Selector,answer,Selection,sent_sv,1703510926585,undefined,wheels,0,sent_sv;sent_vs
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,3,0,experiment,NULL,Selector,answer,Selection,sent_sv,1703510927086,undefined,carriages,1,sent_sv;sent_vs
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,7,0,experiment,NULL,Selector,answer,Selection,sent_sv,1703510927573,undefined,horns,0,sent_sv;sent_vs
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,4,0,experiment,NULL,Selector,answer,Selection,sent_sv,1703510928118,undefined,computers,0,sent_sv;sent_vs
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,9,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703510928642,undefined,castles,1,sent_vs;sent_sv
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,8,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703510929128,undefined,baskets,2,sent_vs;sent_sv
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,19,0,experiment,NULL,Selector,answer,Selection,sent_sv,1703510929717,undefined,lights,0,sent_sv;sent_vs
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,5,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703510930272,undefined,buttons,2,sent_vs;sent_sv
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,15,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703510930783,undefined,bus,0,sent_vs;sent_sv
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,6,0,experiment,NULL,Selector,answer,Selection,sent_sv,1703510938347,undefined,lightbulbs,1,sent_sv;sent_vs
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,2,0,experiment,NULL,Selector,answer,Selection,sent_sv,1703510939581,undefined,bows,2,sent_sv;sent_vs
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,10,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703510940243,undefined,drawers,0,sent_vs;sent_sv
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,14,0,experiment,NULL,Selector,answer,Selection,sent_sv,1703510940782,undefined,guests,0,sent_sv;sent_vs
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,16,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703510941315,undefined,guitar,0,sent_vs;sent_sv
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,17,0,experiment,NULL,Selector,answer,Selection,sent_sv,1703510941798,undefined,books,0,sent_sv;sent_vs
1703510943,01e4e560e10a506fc06f2549c1d0d37d,PennController,13,0,experiment,NULL,Selector,answer,Selection,sent_sv,1703510942388,undefined,bottles,0,sent_sv;sent_vs
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,7,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703514657376,undefined,horns,2,sent_sv;sent_vs
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,8,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703514679298,undefined,baskets,1,sent_vs;sent_sv
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,15,0,experiment,NULL,Selector,answer,Selection,sent_sv,1703514697503,undefined,bus,0,sent_vs;sent_sv
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,3,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703514722416,undefined,carriages,0,sent_sv;sent_vs
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,14,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703514737557,undefined,guests,0,sent_vs;sent_sv
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,18,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703514746130,undefined,wheels,0,sent_sv;sent_vs
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,6,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703514756103,undefined,lightbulbs,0,sent_vs;sent_sv
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,2,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703514766880,undefined,bows,1,sent_sv;sent_vs
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,10,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703514782993,undefined,drawers,2,sent_vs;sent_sv
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,17,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703514812352,undefined,books,0,sent_sv;sent_vs
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,13,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703514829589,undefined,bottles,0,sent_vs;sent_sv
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,12,0,experiment,NULL,Selector,answer,Selection,sent_sv,1703514848957,undefined,tigers,0,sent_sv;sent_vs
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,19,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703514859773,undefined,lights,0,sent_vs;sent_sv
1703514970,2ecb6ae22413454f01bdf5db98b4e6b4,PennController,4,0,experiment,NULL,Selector,answer,Selection,sent_vs,1703514877376,undefined,computers,2,sent_vs;sent_sv
